name,bn_name,number_of_bed,union_id,upazila_id,district_id,organization_type,hospital_type,url,lat,lon
Mirpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,199,25,GOVERNMENT,UPAZILA,null,null,null
Aditmari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,421,55,GOVERNMENT,UPAZILA,null,null,null
Hatibandha Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,419,55,GOVERNMENT,UPAZILA,null,null,null
Kaliganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,418,55,GOVERNMENT,UPAZILA,null,null,null
Patgram Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,420,55,GOVERNMENT,UPAZILA,null,null,null
Kamalnagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,61,7,GOVERNMENT,UPAZILA,null,null,null
Raipur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,62,7,GOVERNMENT,UPAZILA,null,null,null
Ramganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,64,7,GOVERNMENT,UPAZILA,null,null,null
Ramgati Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,63,7,GOVERNMENT,UPAZILA,null,null,null
Kalkini Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,383,50,GOVERNMENT,UPAZILA,null,null,null
Rajoir Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,384,50,GOVERNMENT,UPAZILA,null,null,null
Shibchar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,382,50,GOVERNMENT,UPAZILA,null,null,null
Mohammadpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,205,26,GOVERNMENT,UPAZILA,null,null,null
Shalikha Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,202,26,GOVERNMENT,UPAZILA,null,null,null
Sreepur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,321,26,GOVERNMENT,UPAZILA,null,null,null
Daulatpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,200,46,GOVERNMENT,UPAZILA,null,null,null
Ghior Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,361,46,GOVERNMENT,UPAZILA,null,null,null
Harirampur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,358,46,GOVERNMENT,UPAZILA,null,null,null
Saturia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,359,46,GOVERNMENT,UPAZILA,null,null,null
Shibalaya Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,362,46,GOVERNMENT,UPAZILA,null,null,null
Singair Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,364,46,GOVERNMENT,UPAZILA,null,null,null
Gangni Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,188,22,GOVERNMENT,UPAZILA,null,null,null
Mujib Nagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,186,22,GOVERNMENT,UPAZILA,null,null,null
Barlekha Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,285,37,GOVERNMENT,UPAZILA,null,null,null
Juri Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,291,37,GOVERNMENT,UPAZILA,null,null,null
Kamalganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,286,37,GOVERNMENT,UPAZILA,null,null,null
Kulaura Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,287,37,GOVERNMENT,UPAZILA,null,null,null
Rajnagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,289,37,GOVERNMENT,UPAZILA,null,null,null
Sreemangal Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,290,37,GOVERNMENT,UPAZILA,null,null,null
Gazaria Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,374,48,GOVERNMENT,UPAZILA,null,null,null
Lohajang Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,373,48,GOVERNMENT,UPAZILA,null,null,null
Serajdikhan Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,372,48,GOVERNMENT,UPAZILA,null,null,null
Sreenagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,371,48,GOVERNMENT,UPAZILA,null,null,null
Tongibari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,375,48,GOVERNMENT,UPAZILA,null,null,null
Bhaluka Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,464,62,GOVERNMENT,UPAZILA,null,null,null
Dhobaura Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,467,62,GOVERNMENT,UPAZILA,null,null,null
Fulbaria Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,462,62,GOVERNMENT,UPAZILA,null,null,null
Gaffargaon Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,471,62,GOVERNMENT,UPAZILA,null,null,null
Gauripur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,470,62,GOVERNMENT,UPAZILA,null,null,null
Haluaghat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,469,62,GOVERNMENT,UPAZILA,null,null,null
Ishwarganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,472,62,GOVERNMENT,UPAZILA,null,null,null
Muktagachha Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,465,62,GOVERNMENT,UPAZILA,null,null,null
Nandail Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,473,62,GOVERNMENT,UPAZILA,null,null,null
Phulpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,468,62,GOVERNMENT,UPAZILA,null,null,null
Trishal Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,463,62,GOVERNMENT,UPAZILA,null,null,null
Atrai Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,166,19,GOVERNMENT,UPAZILA,null,null,null
Badalgachhi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,161,19,GOVERNMENT,UPAZILA,null,null,null
Dhamoirhat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,163,19,GOVERNMENT,UPAZILA,null,null,null
Mahadebpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,160,19,GOVERNMENT,UPAZILA,null,null,null
Manda Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,165,19,GOVERNMENT,UPAZILA,null,null,null
Niamatpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,164,19,GOVERNMENT,UPAZILA,null,null,null
Patnitala Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,162,19,GOVERNMENT,UPAZILA,null,null,null
Porsha Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,169,19,GOVERNMENT,UPAZILA,null,null,null
Raninagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,167,19,GOVERNMENT,UPAZILA,null,null,null
Sapahar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,170,19,GOVERNMENT,UPAZILA,null,null,null
Kalia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,191,23,GOVERNMENT,UPAZILA,null,null,null
Lohagara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,190,23,GOVERNMENT,UPAZILA,null,null,null
Araihazar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,328,43,GOVERNMENT,UPAZILA,null,null,null
Bandar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,329,43,GOVERNMENT,UPAZILA,null,null,null
Rupganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,331,43,GOVERNMENT,UPAZILA,null,null,null
Sonargaon Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,332,43,GOVERNMENT,UPAZILA,null,null,null
Belabo Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,311,40,GOVERNMENT,UPAZILA,null,null,null
Manohardi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,312,40,GOVERNMENT,UPAZILA,null,null,null
Palash Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,314,40,GOVERNMENT,UPAZILA,null,null,null
Roypura Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,315,40,GOVERNMENT,UPAZILA,null,null,null
Shibpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,316,40,GOVERNMENT,UPAZILA,null,null,null
Bagatipara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,146,16,GOVERNMENT,UPAZILA,null,null,null
Baraigram Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,145,16,GOVERNMENT,UPAZILA,null,null,null
Gurudaspur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,148,16,GOVERNMENT,UPAZILA,null,null,null
Lalpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,147,16,GOVERNMENT,UPAZILA,null,null,null
Singra Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,144,16,GOVERNMENT,UPAZILA,null,null,null
Atpara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,485,64,GOVERNMENT,UPAZILA,null,null,null
Barhatta Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,482,64,GOVERNMENT,UPAZILA,null,null,null
Durgapur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,483,64,GOVERNMENT,UPAZILA,null,null,null
Kalmakanda Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,488,64,GOVERNMENT,UPAZILA,null,null,null
Kendua Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,484,64,GOVERNMENT,UPAZILA,null,null,null
Khaliajuri Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,487,64,GOVERNMENT,UPAZILA,null,null,null
Madan Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,486,64,GOVERNMENT,UPAZILA,null,null,null
Mohanganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,489,64,GOVERNMENT,UPAZILA,null,null,null
Purbadhala Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,490,64,GOVERNMENT,UPAZILA,null,null,null
Dimla Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,424,56,GOVERNMENT,UPAZILA,null,null,null
Domar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,423,56,GOVERNMENT,UPAZILA,null,null,null
Jaldhaka Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,425,56,GOVERNMENT,UPAZILA,null,null,null
Kishoreganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,426,56,GOVERNMENT,UPAZILA,null,null,null
Saidpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,422,56,GOVERNMENT,UPAZILA,null,null,null
Begumganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,45,5,GOVERNMENT,UPAZILA,null,null,null
Chatkhil Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,50,5,GOVERNMENT,UPAZILA,null,null,null
Companiganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,44,5,GOVERNMENT,UPAZILA,null,null,null
Hatiya Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,46,5,GOVERNMENT,UPAZILA,null,null,null
Kabirhat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,48,5,GOVERNMENT,UPAZILA,null,null,null
Senbagh Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,49,5,GOVERNMENT,UPAZILA,null,null,null
Sonaimuri Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,51,5,GOVERNMENT,UPAZILA,null,null,null
Subarnachar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,47,5,GOVERNMENT,UPAZILA,null,null,null
Atgharia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,118,13,GOVERNMENT,UPAZILA,null,null,null
Bera Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,117,13,GOVERNMENT,UPAZILA,null,null,null
Bhangura Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,115,13,GOVERNMENT,UPAZILA,null,null,null
Chatmohar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,119,13,GOVERNMENT,UPAZILA,null,null,null
Faridpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,121,13,GOVERNMENT,UPAZILA,null,null,null
Ishwardi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,114,13,GOVERNMENT,UPAZILA,null,null,null
Santhia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,120,13,GOVERNMENT,UPAZILA,null,null,null
Sujanagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,113,13,GOVERNMENT,UPAZILA,null,null,null
Atwari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,402,53,GOVERNMENT,UPAZILA,null,null,null
Boda Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,401,53,GOVERNMENT,UPAZILA,null,null,null
Debiganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,400,53,GOVERNMENT,UPAZILA,null,null,null
Tentulia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,403,53,GOVERNMENT,UPAZILA,null,null,null
Bauphal Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,234,31,GOVERNMENT,UPAZILA,null,null,null
Dashmina Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,237,31,GOVERNMENT,UPAZILA,null,null,null
Dumki Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,236,31,GOVERNMENT,UPAZILA,null,null,null
Galachipa Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,240,31,GOVERNMENT,UPAZILA,null,null,null
Kala Para Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,238,31,GOVERNMENT,UPAZILA,null,null,null
Mirzaganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,239,31,GOVERNMENT,UPAZILA,null,null,null
Bhandaria Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,246,32,GOVERNMENT,UPAZILA,null,null,null
Kawkhali Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,35,32,GOVERNMENT,UPAZILA,null,null,null
Mathbaria Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,247,32,GOVERNMENT,UPAZILA,null,null,null
Nazirpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,243,32,GOVERNMENT,UPAZILA,null,null,null
Nesarabad (Swarupkati) Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,248,32,GOVERNMENT,UPAZILA,null,null,null
Zianagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,245,32,GOVERNMENT,UPAZILA,null,null,null
Baliakandi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,379,49,GOVERNMENT,UPAZILA,null,null,null
Goalunda Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,377,49,GOVERNMENT,UPAZILA,null,null,null
Kalukhale Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,380,49,GOVERNMENT,UPAZILA,null,null,null
Pangsha Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,378,49,GOVERNMENT,UPAZILA,null,null,null
Bagha Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,139,15,GOVERNMENT,UPAZILA,null,null,null
Baghmara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,142,15,GOVERNMENT,UPAZILA,null,null,null
Charghat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,137,15,GOVERNMENT,UPAZILA,null,null,null
Durgapur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,483,15,GOVERNMENT,UPAZILA,null,null,null
Godagari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,140,15,GOVERNMENT,UPAZILA,null,null,null
Mohanpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,136,15,GOVERNMENT,UPAZILA,null,null,null
Paba Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,134,15,GOVERNMENT,UPAZILA,null,null,null
Putia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,138,15,GOVERNMENT,UPAZILA,null,null,null
Tanore Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,141,15,GOVERNMENT,UPAZILA,null,null,null
Baghaichhari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,36,4,GOVERNMENT,UPAZILA,null,null,null
Barkal Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,37,4,GOVERNMENT,UPAZILA,null,null,null
Belaichhari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,40,4,GOVERNMENT,UPAZILA,null,null,null
Juraichhari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,41,4,GOVERNMENT,UPAZILA,null,null,null
Kaptai Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,34,4,GOVERNMENT,UPAZILA,null,null,null
Kawkhali (Betbunia) Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,35,4,GOVERNMENT,UPAZILA,null,null,null
Langadu Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,38,4,GOVERNMENT,UPAZILA,null,null,null
Nannerchar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,42,4,GOVERNMENT,UPAZILA,null,null,null
Rajasthali Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,39,4,GOVERNMENT,UPAZILA,null,null,null
Badarganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,443,59,GOVERNMENT,UPAZILA,null,null,null
Gangachara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,441,59,GOVERNMENT,UPAZILA,null,null,null
Kaunia Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,446,59,GOVERNMENT,UPAZILA,null,null,null
Mithapukur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,444,59,GOVERNMENT,UPAZILA,null,null,null
Pirgachha Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,447,59,GOVERNMENT,UPAZILA,null,null,null
Pirganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,436,59,GOVERNMENT,UPAZILA,null,null,null
Taraganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,442,59,GOVERNMENT,UPAZILA,null,null,null
Assasuni Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,179,21,GOVERNMENT,UPAZILA,null,null,null
Debhata Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,180,21,GOVERNMENT,UPAZILA,null,null,null
Kalaroa Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,181,21,GOVERNMENT,UPAZILA,null,null,null
Kaliganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,418,21,GOVERNMENT,UPAZILA,null,null,null
Shyamnagar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,183,21,GOVERNMENT,UPAZILA,null,null,null
Tala Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,184,21,GOVERNMENT,UPAZILA,null,null,null
Bhedarganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,326,42,GOVERNMENT,UPAZILA,null,null,null
Damudya Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,327,42,GOVERNMENT,UPAZILA,null,null,null
Gosairhat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,325,42,GOVERNMENT,UPAZILA,null,null,null
Naria Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,323,42,GOVERNMENT,UPAZILA,null,null,null
Zanjira Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,324,42,GOVERNMENT,UPAZILA,null,null,null
Jhenaigati Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,461,61,GOVERNMENT,UPAZILA,null,null,null
Nakla Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,460,61,GOVERNMENT,UPAZILA,null,null,null
Nalitabari Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,458,61,GOVERNMENT,UPAZILA,null,null,null
Sreebardi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,459,61,GOVERNMENT,UPAZILA,null,null,null
Belkuchi Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,104,12,GOVERNMENT,UPAZILA,null,null,null
Chauhali Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,105,12,GOVERNMENT,UPAZILA,null,null,null
Kamarkhanda Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,106,12,GOVERNMENT,UPAZILA,null,null,null
Kazipur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,107,12,GOVERNMENT,UPAZILA,null,null,null
Royganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,108,12,GOVERNMENT,UPAZILA,null,null,null
Shahjadpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,109,12,GOVERNMENT,UPAZILA,null,null,null
Tarash Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,111,12,GOVERNMENT,UPAZILA,null,null,null
Ullahpara Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,112,12,GOVERNMENT,UPAZILA,null,null,null
Bishwambarpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,302,39,GOVERNMENT,UPAZILA,null,null,null
Chhatak Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,303,39,GOVERNMENT,UPAZILA,null,null,null
Derai Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,310,39,GOVERNMENT,UPAZILA,null,null,null
Dharampasha Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,307,39,GOVERNMENT,UPAZILA,null,null,null
Dowarabazar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,305,39,GOVERNMENT,UPAZILA,null,null,null
Jagannathpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,304,39,GOVERNMENT,UPAZILA,null,null,null
Jamalganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,308,39,GOVERNMENT,UPAZILA,null,null,null
South Sunamganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,301,39,GOVERNMENT,UPAZILA,null,null,null
Sulla Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,309,39,GOVERNMENT,UPAZILA,null,null,null
Tahirpur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,306,39,GOVERNMENT,UPAZILA,null,null,null
Balaganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,272,36,GOVERNMENT,UPAZILA,null,null,null
Beanibazar Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,273,36,GOVERNMENT,UPAZILA,null,null,null
Bishwanath Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,274,36,GOVERNMENT,UPAZILA,null,null,null
Companiganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,44,36,GOVERNMENT,UPAZILA,null,null,null
Fenchuganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,276,36,GOVERNMENT,UPAZILA,null,null,null
Golabganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,277,36,GOVERNMENT,UPAZILA,null,null,null
Gowainghat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,278,36,GOVERNMENT,UPAZILA,null,null,null
Jaintiapur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,279,36,GOVERNMENT,UPAZILA,null,null,null
Kanaighat Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,280,36,GOVERNMENT,UPAZILA,null,null,null
South Surma Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,283,36,GOVERNMENT,UPAZILA,null,null,null
Zakiganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,282,36,GOVERNMENT,UPAZILA,null,null,null
Basail Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,50,null,333,44,GOVERNMENT,UPAZILA,null,null,null
Bhuapur Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,31,null,334,44,GOVERNMENT,UPAZILA,null,null,null
